No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.3338	0.089967	0.025544	30.668	387.76	362.01	34.017	0.0022582	0.0056455	16.158	0.93947	0.95467	0.12471	51.117
1.6473	0.11934	0.011817	29.68	407.01	282.57	44.189	0.0021683	0.0054207	30.067	4.1713	0.78849	0.11494	97.476
1.6053	0.087223	0.028763	32.928	355.53	310.15	35.918	0.0021703	0.0054257	33.149	1.7513	1.0301	0.1139	77.067
1.7904	0.081632	0.010121	28.547	408.8	272.28	39.789	0.0027732	0.0069329	28.675	2.2157	1.0322	0.072229	54.83
1.3452	0.1047	0.028446	32.996	385.06	473.38	27.698	0.0018301	0.0045751	55.04	1.8092	0.63477	0.13063	23.438
1.4781	0.099817	0.028143	34.767	471.3	329.74	28.561	0.0019488	0.0048719	70.094	6.5321	1.0565	0.1546	36.749
1.1052	0.10373	0.016207	32.338	377.68	407.16	38.281	0.0012686	0.0031715	393.83	4.3183	1.1928	0.1521	40.166
1.7813	0.12391	0.019645	30.127	429.85	366.73	34.303	0.0017141	0.0042854	34.605	2.8892	0.78245	0.13793	76.956
1.7355	0.11913	0.021674	30.615	394.75	351.99	41.64	0.002938	0.007345	70.747	3.3029	0.64361	0.12178	20.775
1.0106	0.10674	0.014936	26.188	380.68	398.24	24.001	0.0023112	0.005778	18.557	4.429	0.94878	0.097104	25.865
1.7676	0.082193	0.02217	27.04	377.97	343.4	34.632	0.0017087	0.0042718	68.6	2.2189	1.1908	0.093514	66.708
1.4709	0.085478	0.022683	26.891	427.34	302.37	40.69	0.0019043	0.0047606	38.224	1.269	0.78204	0.10831	41.347
1.4116	0.11555	0.020448	26.302	418.02	347.42	27.019	0.0021632	0.0054079	27.959	1.1778	1.041	0.094982	82.346
1.7182	0.11122	0.019517	32.82	436.76	282.3	38.839	0.0016798	0.0041996	32.993	4.1283	0.65341	0.096439	76.748
1.6242	0.12136	0.019521	33.682	421.6	337.96	40.409	0.0018255	0.0045636	65.114	2.2805	0.80742	0.1742	14.353
1.3418	0.091514	0.02657	27.946	407.88	287.74	37.295	0.0032829	0.0082073	43.258	2.2268	0.89331	0.12381	51.945
1.5715	0.10284	0.017384	26.519	418.84	359.02	42.317	0.0028169	0.0070423	66.278	1.9529	1.1374	0.11214	23.092
1.0601	0.11192	0.025442	31.647	466.19	408.13	36.521	0.0017725	0.0044312	44.827	3.5398	0.8792	0.11003	37.252
1.4784	0.10319	0.014913	31.894	371.54	389.16	44.624	0.0016544	0.0041361	27.008	3.6776	1.1573	0.10852	93.518
1.5055	0.10777	0.025988	35.299	342.01	384.97	44.272	0.0023201	0.0058002	58.677	4.0683	0.61549	0.10504	59.81
1.3056	0.08623	0.025787	26.929	378.49	324.86	46.648	0.0018354	0.0045884	41.916	2.5808	0.6375	0.14095	15.963
1.3987	0.11962	0.019335	28.358	361.19	338.1	58.573	0.0017478	0.0043695	100	3.3207	0.71336	0.094732	45.112
1.3191	0.089414	0.027901	35.097	416.04	302.29	37.095	0.0018843	0.0047108	19.001	2.1524	0.67855	0.15261	31.921
1.6455	0.09973	0.023796	29.403	459.74	343.91	58.053	0.0019612	0.0049031	34.721	4.0022	0.71697	0.24474	30.148
1.001	0.079827	0.017792	35.872	519.12	338.09	56.096	0.0019945	0.0049863	99.797	3.1747	0.70469	0.09014	34.921
1.5948	0.078637	0.029047	32.559	360.68	369.06	39.393	0.0015393	0.0038483	42.574	0.84809	0.82884	0.13748	77.18
1.2968	0.12111	0.014201	30.274	410.38	275.18	39.919	0.0015348	0.0038369	137.37	2.4525	0.87402	0.16176	68.676
1.5535	0.07921	0.013223	34.466	386.09	304.96	47.403	0.0015273	0.0038182	62.755	5.1548	1.0378	0.11841	22.171
1.1228	0.11324	0.023902	29.738	391.66	317.18	32.631	0.0016502	0.0041255	34.866	2.0507	1.1045	0.14016	97.473
1.0879	0.1122	0.014153	28.627	443.41	299.61	28.852	0.001671	0.0041775	34.654	5.4713	0.68269	0.087551	20.276
1.0413	0.093965	0.029417	27.215	448.83	377.67	38.45	0.0020378	0.0050944	31.126	5.3774	1.1721	0.098333	43.693
1.4244	0.087724	0.022718	35.951	457.19	366.66	31.757	0.0015765	0.0039412	74.145	4.639	1.0081	0.13074	46.262
1.1169	0.12256	0.014514	29.223	381.3	292.76	36.437	0.0018977	0.0047443	27.765	3.8464	0.92316	0.12452	6.7916
1.2903	0.11302	0.015179	32.126	443.24	419.91	27.575	0.0019539	0.0048849	94.554	4.283	1.1632	0.13655	96.637
1.0209	0.09282	0.021235	31.416	435.3	356.81	44.922	0.002099	0.0052474	75.921	6.0195	0.77364	0.17667	57.526
1.6784	0.096872	0.011226	29.153	346.09	271.69	31.433	0.0017455	0.0043636	26.753	4.613	0.85219	0.10095	83.016
1.1084	0.10508	0.011093	32.003	344.21	267.87	41.877	0.001906	0.0047649	28.033	3.6857	0.9804	0.069199	26.74
1.1649	0.08987	0.010185	31.249	454.72	337.59	30.82	0.0016722	0.0041805	42.53	2.7943	0.85525	0.12448	91.169
1.1707	0.098709	0.013238	30.46	416.13	357.61	42.729	0.0016527	0.0041318	27.893	2.0429	0.99144	0.081348	66.69
1.1973	0.099445	0.021706	27.2	430.4	337.36	32.64	0.0022354	0.0055884	30.811	1.271	0.70589	0.12818	16.528
1.4545	0.094154	0.011728	34.538	409.32	338.42	43.031	0.0020032	0.005008	34.21	2.9827	1.1526	0.088628	78.46
1.6766	0.09618	0.011294	30.212	364.89	358.05	34.846	0.0016437	0.0041092	36.31	2.255	0.82251	0.15068	17.629
1.4452	0.10327	0.020785	26.486	362.28	328.36	34.521	0.0019321	0.0048303	28.988	2.2997	1.1007	0.11618	39.542
1.1972	0.10129	0.026514	31.718	372.1	371.96	33.977	0.0017028	0.0042571	108.34	2.1229	1.119	0.090136	41.547
1.1626	0.09823	0.01709	27.023	478.24	397.11	40.329	0.0016571	0.0041427	29.941	6.4743	1.1304	0.097437	21.435
1.5243	0.085582	0.020457	30.337	405.08	337.56	49.306	0.0022112	0.0055279	42.942	2.5565	0.79553	0.13691	49.084
1.4704	0.088273	0.020414	27.56	455.37	398.91	38.869	0.0024151	0.0060376	25.824	7.6897	0.93804	0.23705	54.364
1.4297	0.098135	0.020632	31.255	393.93	425.88	34.911	0.0025106	0.0062765	25.625	2.2938	1.0532	0.14181	35.827
1.1117	0.10069	0.027081	33.835	467.37	319.34	32.495	0.0019377	0.0048442	15.639	1.971	0.61807	0.12361	6.6921
1.0369	0.10312	0.026249	33.475	371.87	381.72	37.025	0.0015139	0.0037847	113.7	2.9545	0.6476	0.094166	4.0203
1.3868	0.1075	0.011323	35.036	346.03	400.63	46.97	0.0024166	0.0060415	17.425	8.6217	0.94585	0.19241	25.481
1.5456	0.11119	0.014575	28.22	358.92	354.29	39.787	0.0023166	0.0057915	67.683	3.1334	0.814	0.13157	72.36
1.7619	0.094542	0.012854	27.414	373.2	391.86	38.445	0.0024501	0.0061253	182.56	3.0359	0.74198	0.092077	77.515
1.2236	0.097879	0.018765	28.292	401.06	318.76	45.43	0.001722	0.0043051	33.294	6.1636	0.74781	0.096466	80.976
1.558	0.090996	0.028901	29.677	417.66	386.92	37.411	0.0022269	0.0055674	26.955	3.3787	0.69038	0.12296	94.723
1.2796	0.10853	0.016152	33.491	396.41	377.6	55.54	0.0013014	0.0032535	23.501	1.9101	1.0126	0.19338	40.286
1.1115	0.10067	0.015983	28.376	401.13	504.87	43.873	0.0025727	0.0064317	59.663	7.7614	0.67483	0.19206	24.081
1.7483	0.091475	0.011972	31.781	473.37	296.87	36.138	0.0018332	0.004583	24.975	2.1021	0.93795	0.12761	8.2074
1.5799	0.093441	0.010798	31.31	399.81	382.63	53.747	0.0019298	0.0048244	59.919	1.7556	0.91573	0.14812	22.022
1.5982	0.11661	0.021322	29.333	474.88	323.83	37.361	0.0015844	0.003961	28.186	3.5577	1.05	0.082174	97.691
1.3285	0.099818	0.029377	28.305	459.59	345.73	39.744	0.0015667	0.0039169	45.781	2.7039	0.69649	0.10942	91.145
1.2177	0.10163	0.024124	30.404	427.04	447.12	33.049	0.001915	0.0047876	56.414	2.4531	0.68473	0.20554	63.162
1.224	0.095102	0.028466	26.723	481.03	286.05	43.717	0.0017888	0.004472	34.428	2.5231	0.66391	0.14694	99.23
1.6664	0.12159	0.01811	30.498	507.44	375.68	44.598	0.0019341	0.0048352	54.825	4.085	1.1616	0.13525	58.754
1.1653	0.11174	0.011779	32.21	340.59	398.75	46.706	0.0016037	0.0040092	20.925	2.0927	0.60659	0.12713	39.371
1.3085	0.084145	0.014505	27.845	426.84	284.05	34.453	0.0015416	0.0038541	46.588	3.1857	0.72227	0.1065	33.318
1.7174	0.11291	0.019532	28.821	367.4	350.75	36.753	0.0017744	0.004436	95.95	2.3502	1.059	0.19492	0.2311
1.7522	0.084851	0.027022	35.598	361.12	347.29	41.615	0.0015472	0.0038679	46.073	2.1963	0.98519	0.19835	67.76
1.7881	0.10556	0.022065	30.292	335.12	317.15	38.357	0.0022963	0.0057408	31.014	2.1203	0.85379	0.11251	67.616
1.2963	0.099413	0.01099	34.893	500.43	375.03	35.604	0.0020734	0.0051834	60.969	3.161	1.1747	0.081237	37.11
1.0062	0.12198	0.024759	33.22	410.54	390.43	33.412	0.0017304	0.0043259	68.459	4.1799	0.7703	0.11808	45.352
1.1047	0.077167	0.021553	35.963	410.71	377.61	48.237	0.002517	0.0062924	45.886	2.9973	1.1324	0.14511	69.295
1.4932	0.11004	0.017813	34.901	492.14	322	28.708	0.002285	0.0057125	118.93	4.2842	0.63939	0.089614	34.748
1.2349	0.09498	0.027233	28.698	434.1	294.88	31.628	0.0020357	0.0050893	91.468	6.7131	1.106	0.18664	14.478
1.649	0.10115	0.029639	29.015	430.64	323.97	43.14	0.0020892	0.005223	38.575	4.9954	0.76592	0.095725	36.385
1.1558	0.097373	0.029774	33.735	393.88	389.78	43.085	0.0023763	0.0059407	79.19	3.8598	0.94293	0.11634	78.803
1.5545	0.08434	0.026068	32.878	461.07	370.39	49.444	0.0022131	0.0055326	26.64	9.3403	0.98979	0.082902	94.644
1.681	0.11078	0.026899	35.578	417.42	321.42	34.035	0.0014401	0.0036003	228.49	2.4169	0.98066	0.14793	32.474
1.5696	0.084529	0.019852	27.373	404.86	411.91	59.991	0.002043	0.0051076	98.373	3.0897	1.1248	0.16374	8.1439
1.544	0.084227	0.015735	28.893	389.13	341.06	41.648	0.0018058	0.0045144	65.942	3.445	0.89253	0.12873	89.975
1.5167	0.10336	0.01955	26.076	360.15	319.67	40.74	0.0017883	0.0044707	41.943	2.5695	0.71166	0.11673	80.212
1.7067	0.08848	0.019117	28.261	414.64	327	37.39	0.0013375	0.0033437	51.334	6.3891	0.80955	0.10745	74.069
1.0392	0.086494	0.028528	28.436	466.19	317.1	38.288	0.0018092	0.0045231	49.428	3.1567	0.86079	0.12201	28.359
1.0229	0.097624	0.01041	35.53	350.33	350.21	34.064	0.0022251	0.0055628	49.089	2.6847	0.96281	0.11994	69.165
1.015	0.073595	0.01039	26.452	423.91	349.62	42.793	0.0018403	0.0046007	16.374	3.3998	0.94632	0.14165	9.6816
1.3368	0.085372	0.013876	34.196	394.78	375.26	35.331	0.0018666	0.0046665	28.915	1.7812	0.90381	0.10109	98.138
1.6277	0.09143	0.019809	34.039	350.99	330.05	35.59	0.0020108	0.005027	28.936	3.1303	0.7493	0.17769	89.958
1.7605	0.081441	0.011218	29.056	450.47	375.41	42.867	0.0016774	0.0041935	51.534	4.9364	0.92025	0.12641	84.567
1.1172	0.094454	0.027925	35.138	392.2	345.53	43.049	0.0025616	0.006404	65.786	4.5198	0.6597	0.12885	36.097
1.3569	0.11675	0.014458	29.534	400.38	352.93	35.369	0.0020335	0.0050837	77.536	3.505	1.0637	0.12079	64.92
1.0787	0.11129	0.010542	30.286	402.07	346.27	46.855	0.0015088	0.0037721	45.438	5.5097	0.93063	0.18884	68.375
1.7554	0.085965	0.01927	34.257	427.07	320.13	26.041	0.002089	0.0052224	88.965	3.6931	1.0438	0.097791	46.173
1.709	0.11946	0.024891	32.592	390.73	372.16	28.465	0.0018822	0.0047055	25.281	2.0485	1.1686	0.16186	83.119
1.3688	0.10163	0.025305	27.617	349.04	437.09	33.111	0.0018205	0.0045513	31.109	3.8411	1.0774	0.1326	62.008
1.3892	0.095282	0.019955	34.328	360.26	328.43	42.819	0.0020007	0.0050019	10.223	5.5457	0.75644	0.094334	88.254
1.5312	0.0998	0.028115	34.731	442.65	349.49	34.874	0.0021519	0.0053798	83.367	2.1966	1.1991	0.13718	6.2888
1.7296	0.090258	0.024247	27.264	400.69	324.1	29.062	0.00174	0.00435	17.598	4.1635	0.79225	0.21354	65.73
1.406	0.1073	0.012607	27.034	439.44	341.05	26.357	0.0019141	0.0047853	91.738	6.6232	1.0851	0.13057	96.542
1.5982	0.10181	0.011365	32.914	412.68	341.74	39.088	0.0020758	0.0051895	14.801	2.7351	1.0414	0.12747	8.4389
1.2014	0.090542	0.014153	35.499	361.31	419.15	39.035	0.0018483	0.0046206	57.961	2.3721	1.0008	0.12908	70.822
1.1545	0.108	0.017526	26.562	496.85	320.72	29.585	0.0025348	0.006337	112.15	1.0742	1.0338	0.079815	16.239
1.5894	0.11167	0.016675	29.805	339.3	316.87	43.987	0.0016849	0.0042122	50.407	2.9765	0.64463	0.20084	65.119
1.4292	0.088415	0.02118	28.778	414.43	382.39	49.131	0.0019471	0.0048678	46.738	4.6345	1.0003	0.13399	24.087
1.1075	0.10732	0.012191	30.697	342.03	365.16	36.322	0.0019921	0.0049803	42.675	6.0158	0.8576	0.10036	75.376
1.4244	0.072705	0.029172	35.506	470.27	416.88	49.912	0.0026804	0.0067009	38.511	1.879	1.0478	0.082805	28.275
1.4882	0.095859	0.012037	31.034	417.39	331.29	54.17	0.0022104	0.0055259	32.926	1.8133	0.78802	0.12823	40.964
1.3635	0.098217	0.017525	32.993	362.02	343.69	33.008	0.0016192	0.0040479	174.91	2.0753	1.1198	0.16999	47.748
1.2502	0.082691	0.010115	33.88	430.88	435	38.687	0.0017166	0.0042915	165.38	2.3424	0.68151	0.10392	1.7427
1.3982	0.093195	0.014055	27.379	400.95	326.51	31.537	0.0022075	0.0055189	7.4895	2.7499	1.0417	0.083087	69.157
1.4487	0.093292	0.026697	29.169	345.12	342.2	37.912	0.002378	0.0059449	40.546	1.6008	0.94477	0.10012	57.065
1.6285	0.10026	0.022849	32.318	333.62	378.35	45.647	0.0016522	0.0041306	108.88	5.5164	0.8037	0.13994	94.147
1.7146	0.08902	0.023707	35.324	426.73	340.25	38.768	0.0020312	0.0050781	55.776	1.8653	0.92164	0.19609	93.049
1.1411	0.11523	0.024384	33.28	402.18	434.79	28.053	0.0021429	0.0053573	41.699	6.658	0.95726	0.06747	30.71
1.3028	0.10276	0.02024	34.722	341.26	376.63	28.88	0.0017295	0.0043238	22.845	2.1942	1.0441	0.14105	3.1709
1.6374	0.1004	0.021446	26.907	318.44	384.66	61.483	0.0018633	0.0046582	34.829	8.5837	1.0056	0.10575	54.775
1.4054	0.11256	0.016297	29.262	360.17	353.8	44.347	0.0019936	0.004984	75.145	2.5061	1.1189	0.10996	52.085
1.1658	0.10985	0.018412	27.966	437.27	380.19	29.598	0.0017782	0.0044456	34.207	6.3748	0.67966	0.15418	78.681
1.6309	0.087079	0.029038	30.604	357.18	311.91	44.059	0.0018349	0.0045872	27.964	6.7437	0.89753	0.11151	66.6
1.036	0.08088	0.020486	27.457	374.55	293.99	33.135	0.0024992	0.0062479	105.57	4.479	0.72444	0.12709	69.162
1.3224	0.069604	0.024861	34.033	447.01	450.31	33.543	0.0027227	0.0068069	29.276	4.6957	1.09	0.16773	55.005
1.2998	0.091016	0.026559	31.93	358.78	305.9	28.174	0.0023646	0.0059116	21.743	2.7195	0.85055	0.14293	23.483
1.3633	0.10584	0.014793	28.016	453.99	399.47	32.108	0.0021556	0.0053889	16.637	2.0461	1.0764	0.12863	24.989
1.0849	0.10826	0.018409	30.66	386.22	368.68	44.531	0.0017137	0.0042843	35.798	2.5842	0.87984	0.094681	62.915
1.7799	0.072161	0.028878	35.58	475.77	335.52	31.61	0.0023872	0.0059681	57.843	2.7551	0.73553	0.10196	97.035
1.2555	0.11095	0.024167	35.07	464.23	393.26	47.209	0.0022767	0.0056918	101.05	6.1951	0.65779	0.12691	12.518
1.5359	0.12866	0.020702	29.321	316.85	273.86	55.881	0.0014007	0.0035018	105.73	2.9697	0.93995	0.062536	31.938
1.4133	0.10625	0.029932	30.668	409.12	284.62	36.629	0.0014957	0.0037393	17.181	1.4447	0.88961	0.16755	36.271
1.7904	0.1099	0.014363	35.084	423.86	318.4	45.538	0.0023394	0.0058484	102.51	1.9531	1.0188	0.1028	71.711
1.6093	0.10519	0.021779	32.933	400.72	323.17	34.91	0.0026714	0.0066785	67.443	2.416	1.0298	0.1303	24.598
1.5294	0.10994	0.025529	29.151	456.1	448.54	50.947	0.0015292	0.003823	47.282	2.4311	0.94511	0.12188	25.444
1.0319	0.099728	0.027538	33.207	380.95	355.3	39.537	0.0024459	0.0061146	63.36	3.704	0.93926	0.13516	97.303
1.6248	0.1096	0.022465	34.587	424.48	413.31	28.914	0.0021567	0.0053917	41.54	3.5458	0.82863	0.20525	58.277
1.0025	0.08894	0.016713	29.742	486.47	313.96	47.323	0.0023691	0.0059228	150.73	1.445	1.1964	0.096717	97.071
1.105	0.072279	0.024917	33.37	391.21	375.69	38.111	0.0018683	0.0046708	46.34	2.2949	0.71355	0.073327	11.512
1.3374	0.11	0.012187	26.645	440.09	315.22	38.351	0.0019844	0.0049611	46.92	4.2032	0.82847	0.10599	97.359
1.7859	0.095286	0.028975	32.614	312.22	333.38	35.902	0.0016752	0.0041881	18.499	3.0736	0.98199	0.13213	81.689
1.6941	0.094943	0.014464	30.516	399.14	347.19	35.642	0.0015399	0.0038498	94.828	3.2117	0.67573	0.12168	60.881
1.4488	0.094445	0.01506	31.244	417.21	330.89	31.085	0.002189	0.0054724	49.973	6.5095	1.0462	0.1061	28.219
1.5211	0.1158	0.024445	34.263	357.69	335.41	26.138	0.0022845	0.0057113	91.391	3.1592	1.0706	0.094896	73.135
1.337	0.087446	0.025702	35.819	397.48	361.65	35.757	0.0020856	0.0052141	143.03	8.962	0.60671	0.073061	3.1876
1.1195	0.096113	0.011218	30.936	455.3	321.48	37.881	0.002048	0.00512	19.367	4.9615	1.0851	0.10167	74.754
1.619	0.084797	0.029345	32.157	389.76	372.19	32.924	0.0018229	0.0045573	51.246	4.2121	1.1696	0.10524	94.16
1.6385	0.12259	0.028	33.241	418.88	375.76	24.375	0.0023211	0.0058028	24.927	1.5231	0.76439	0.19837	76.186
1.5763	0.098655	0.020479	29.914	396.06	332.11	43.294	0.0015561	0.0038903	72.461	2.021	0.87779	0.11579	52.456
1.1751	0.10483	0.027706	30.33	444.35	396.75	45.859	0.0019506	0.0048766	80.506	1.6046	1.039	0.17125	66.47
1.358	0.10091	0.019779	29.223	369.75	366.64	28.709	0.0020884	0.0052209	65.986	6.9713	0.78176	0.11081	56.914
1.1809	0.11485	0.028425	32.617	400.41	289.9	35.293	0.0018916	0.0047291	42.82	3.1212	0.63237	0.090604	86.939
1.7747	0.094852	0.01642	32.619	411.59	338.3	56.585	0.0018419	0.0046049	17.683	1.6456	1.1282	0.13897	29.666
1.0733	0.10316	0.013396	31.175	418.54	325.37	33.69	0.0015148	0.003787	45.508	2.4006	0.96865	0.15027	1.0693
1.2492	0.10562	0.0276	30.53	403.76	334.56	35.971	0.0015468	0.003867	31.878	6.4662	0.60205	0.11984	42.681
1.1442	0.093069	0.018955	30.616	411.96	318.31	39.819	0.0023299	0.0058247	43.549	2.8198	1.178	0.088028	23.393
1.4668	0.095392	0.02703	30.838	377.58	327.46	30.131	0.0016055	0.0040138	86.282	5.4088	0.98674	0.16599	44.739
1.4635	0.10623	0.01303	35.568	391.31	294.38	32.602	0.0025124	0.0062811	35.474	2.2536	0.89332	0.11439	53.343
1.2142	0.10333	0.01118	35.951	373.92	437.55	39.133	0.0020486	0.0051214	49.473	4.1142	0.70723	0.1045	59.037
1.1049	0.10008	0.01687	28.627	484.4	380.24	35.498	0.0025682	0.0064206	106.21	2.9716	0.83336	0.088676	70.171
1.1858	0.099609	0.011183	35.298	387.8	351.73	35.871	0.0019169	0.0047923	82.487	4.2839	0.99122	0.112	10.322
1.0319	0.12306	0.014878	28.016	371.29	370.79	38.517	0.001606	0.004015	87.219	3.5276	1.112	0.17135	64.109
1.033	0.09759	0.028943	35.94	398.74	349.85	26.685	0.0023142	0.0057855	17.554	5.6233	0.88819	0.10681	86.941
1.7674	0.10634	0.011518	33.873	511.41	305.62	47.114	0.0027352	0.006838	146.5	1.9925	0.92905	0.31779	23.131
1.3165	0.116	0.021479	31.288	389.6	347.22	26.567	0.0022766	0.0056915	70.669	4.0843	0.6076	0.21063	43.108
1.0015	0.082606	0.011169	27.255	381.07	293.87	33.757	0.001665	0.0041624	53.679	2.1702	0.62246	0.12139	17.692
1.6911	0.086646	0.018539	30.073	387.7	371.5	43.67	0.0022124	0.0055309	68.46	4.8549	1.1924	0.15838	74.125
1.0091	0.10271	0.012179	27.471	413.29	355.39	37.592	0.0013036	0.003259	83.004	2.0161	0.71649	0.1078	71.591
1.1797	0.10275	0.011574	34.125	381.39	290.33	49.436	0.0028654	0.0071636	16.534	2.8185	0.86445	0.077067	3.0251
1.7881	0.096035	0.017428	31.426	353.91	363.95	42.061	0.0024984	0.006246	114.43	3.2908	0.74609	0.1881	15.711
1.2864	0.091076	0.022836	34.641	401.38	363.52	37.459	0.0018528	0.0046319	34.457	4.8153	0.99761	0.10568	65.821
1.0752	0.092579	0.022924	27.406	386.01	361.96	27.255	0.0020361	0.0050902	46.73	2.4408	0.91192	0.2329	60.757
1.5255	0.10801	0.024073	26.771	424.15	330.13	29.534	0.0016051	0.0040128	27.271	3.2505	1.0324	0.11418	65.916
1.6544	0.11019	0.02993	27.807	471.08	299.36	32.483	0.0016837	0.0042094	65.446	2.0709	0.66298	0.098432	44.968
1.1202	0.10453	0.011464	28.08	400.57	349.16	45.557	0.0020803	0.0052007	71.13	4.2484	0.72039	0.18042	19.72
1.7135	0.094222	0.01936	31.792	340.15	346.27	29.612	0.0025072	0.006268	54.531	6.2811	1.1682	0.16255	20.728
1.4079	0.11008	0.010784	34.358	322.31	363.21	36.412	0.0020644	0.005161	78.821	3.8279	1.1696	0.15936	34.837
1.7995	0.086767	0.028748	32.136	437.87	273.18	59.799	0.0017932	0.0044829	22.531	1.9227	1.1787	0.10007	0.48606
1.5905	0.097559	0.023123	26.406	413.92	390.43	54.361	0.0027471	0.0068677	29.432	9.6807	0.98852	0.13099	70.427
1.3821	0.10309	0.02408	28.048	417.71	382.32	44.28	0.0021379	0.0053447	27.279	2.4251	0.62296	0.11724	10.084
1.3718	0.10297	0.012265	31.316	429.55	389.94	40.127	0.0016154	0.0040385	31.571	6.8564	0.67401	0.077536	57.426
1.7553	0.10316	0.021673	31.426	424.23	352.41	41.258	0.0016173	0.0040433	56.523	1.3705	0.77638	0.13309	83.517
1.127	0.083817	0.028387	35.907	357.97	386.66	31.267	0.002183	0.0054575	15.097	2.3508	1.0086	0.088368	5.7667
1.5702	0.098317	0.028732	35.955	387.77	404.98	46.428	0.0014803	0.0037008	128.04	2.1592	0.98657	0.16878	6.7862
1.4371	0.1104	0.019087	28.639	373.24	308.76	36.079	0.0020589	0.0051472	21.483	1.8863	0.71259	0.12882	11.501
1.1982	0.09883	0.02972	29.049	391.64	402.96	35.402	0.0016639	0.0041598	49.587	1.8602	0.85008	0.15181	4.193
1.6184	0.099321	0.02682	29.134	322.52	354.35	32.307	0.0028372	0.0070929	103.43	1.0124	1.0694	0.13767	28.611
1.3676	0.095434	0.017787	32.344	463.97	368.66	32.909	0.001976	0.0049399	18.872	4.2445	0.66738	0.1292	23.208
1.643	0.10425	0.010175	30.462	419.75	309.65	50.664	0.0018418	0.0046045	43.753	3.9785	1.0326	0.13031	27.625
1.2069	0.098579	0.027588	28.495	364.29	354.83	46.077	0.0020815	0.0052039	10.121	4.9022	0.84828	0.12692	91.74
1.7889	0.11422	0.022059	30.899	355.75	371.15	42.693	0.0013416	0.0033541	24.8	6.1221	1.0657	0.10795	37.464
1.5777	0.089015	0.010887	29.668	342.68	306.74	45.602	0.0016643	0.0041608	42.322	3.5159	0.86349	0.11327	62.446
1.2457	0.1026	0.018129	26.393	389.07	356.46	34.349	0.0016422	0.0041056	126.9	4.7929	0.83308	0.069456	49.062
1.5707	0.075747	0.026367	29.998	388.01	300.94	39.151	0.0022741	0.0056852	94.415	4.9602	0.62992	0.15413	71.225
1.5131	0.12082	0.016595	32.15	436.68	309	32.377	0.0024926	0.0062314	98.95	3.9664	0.65333	0.1477	95.248
1.6647	0.088082	0.019304	32.563	330.11	389.81	40.779	0.0019	0.0047499	12.306	1.4479	0.65251	0.11986	19.106
1.6827	0.095504	0.029176	28.062	455	298.62	30.924	0.0020837	0.0052092	45.187	5.0744	0.70523	0.13427	58.913
1.5824	0.11436	0.012889	33.874	355.02	318.4	40.673	0.0019121	0.0047803	40.689	4.7811	0.96903	0.12636	74.527
1.3166	0.109	0.010157	28.752	399.19	245.79	34.721	0.0019438	0.0048596	66.997	2.1667	0.99456	0.14247	31.97
1.1191	0.11133	0.023413	32.342	351.17	367.73	33.985	0.0014849	0.0037121	46.179	3.6502	0.93834	0.10861	11.835
1.1321	0.099551	0.027098	27.418	359.38	348.81	25.589	0.0015986	0.0039965	64.289	5.9351	1.0264	0.135	63.082
1.7902	0.097852	0.022102	30.762	442.65	351.24	59.108	0.0020887	0.0052216	56.774	1.6511	1.1851	0.13452	90.057
1.1925	0.11561	0.01456	35.681	331.69	357.01	35.311	0.0021719	0.0054297	79.189	2.5236	0.69144	0.12399	41.532
1.7461	0.10355	0.029327	28.587	349.47	360.33	38.853	0.0022662	0.0056656	31.803	2.2514	0.65572	0.22621	28.646
1.0837	0.086497	0.022605	30.606	513.55	339.57	49.783	0.0021015	0.0052537	54.431	3.6889	0.73655	0.14858	94.3
1.7628	0.10247	0.013905	32.593	400.01	406.41	47.255	0.0023539	0.0058846	27.626	3.7156	0.65315	0.15721	32.72
1.0213	0.10194	0.023601	30.2	316.84	278.88	47.861	0.0017689	0.0044224	65.439	2.4171	1.0245	0.079627	99.722
1.554	0.10001	0.013037	29.287	452.41	382.37	39.678	0.0018183	0.0045458	53.061	4.2942	1.1827	0.11197	97.233
1.2105	0.097844	0.011861	34.392	380.85	360.17	44.327	0.00194	0.0048501	24.393	2.0053	0.83679	0.23052	75.712
1.4449	0.084469	0.022739	28.532	420.24	331.29	38.54	0.0019392	0.0048479	26.161	3.0255	0.92343	0.12683	13.257
1.1642	0.10033	0.017866	31.279	369.84	390.2	43.275	0.001964	0.00491	22.93	3.5552	0.86572	0.10408	15.618
1.7306	0.099184	0.011357	35.632	373.8	315.24	39.796	0.001984	0.00496	18.581	1.6542	1.0886	0.09987	81.237
1.2322	0.10451	0.02537	35.736	368.12	358.78	39.19	0.001498	0.003745	19.462	4.5811	1.1722	0.14413	97.823
1.2125	0.10414	0.014484	27.094	456.49	287.05	34.572	0.0017135	0.0042838	44.148	2.2109	1.1015	0.16327	40.08
1.4053	0.099213	0.028204	32.374	438.1	312.1	63.644	0.0019389	0.0048472	50.837	3.4565	0.77337	0.13184	11.045
